source_id,source_label,source_role,medium,croatian_eligibility,language,ownership,register_id,evidence_url,checked
blagamisterije.com,blagamisterije.com,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,3/20,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=29,2026-09-21
bodulija.net,bodulija.net,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,67/22,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=44,2026-09-21
bojezemlje.hr,bojezemlje.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,39/22,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=41,2026-09-21
boljani.info,boljani.info,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,11/17,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=17,2026-09-21
bonton.hr,bonton.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,4/25,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=56,2026-09-21
book.hr,book.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,5/18,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=20,2026-09-21
booksa.hr,booksa.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,2/14,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=5,2026-09-21
braniteljski-portal.com,braniteljski-portal.com,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,57/22,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=43,2026-09-21
brodportal.hr,brodportal.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,9/14,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=5,2026-09-21
budica.info,budica.info,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,06/24,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=50,2026-09-21
budidobro.com,budidobro.com,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,34/22,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=41,2026-09-21
burarovinj.hr,burarovinj.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,08/23,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=45,2026-09-21
burin.hr,burin.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,38/21,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=36,2026-09-21
buro247.hr,buro247.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,38/15,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=11,2026-09-21
burzanautike.com,burzanautike.com,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,14/24,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=51,2026-09-21
cajtung.com,cajtung.com,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,23/17,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=17,2026-09-21
chill.hr,chill.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,34/23,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=48,2026-09-21
cityportal.hr,cityportal.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,07/12,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=3,2026-09-21
combatplus.eu,combatplus.eu,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,34/24,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=53,2026-09-21
compas.com.hr,compas.com.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,28/22,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=40,2026-09-21
cool.hr,cool.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,40/15,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=11,2026-09-21
cosmopolitan.hr,cosmopolitan.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,15/11,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=1,2026-09-21
coverstyle.hr,coverstyle.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,44/17,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=18,2026-09-21
credibile.eu,credibile.eu,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,2/25,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=56,2026-09-21
crikva.hr,crikva.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,60/16,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=15,2026-09-21
crnemambe.hr,crnemambe.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,57/16,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=15,2026-09-21
cro-east.eu,cro-east.eu,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,37/24,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=53,2026-09-21
cro-kultura.com,cro-kultura.com,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,65/17,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=20,2026-09-21
croatianaviation.com,croatianaviation.com,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,40/21,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=36,2026-09-21
crol.hr,crol.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,40/14,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=7,2026-09-21
crona.hr,crona.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,49/21,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=37,2026-09-21
cronika.hr,cronika.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,20/20,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=30,2026-09-21
cybermed.hr,cybermed.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,09/24,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=51,2026-09-21
dalmacijadanas.hr,dalmacijadanas.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,19/17,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=17,2026-09-21
dalmacijanews.hr,dalmacijanews.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,15/15,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=10,2026-09-21
dalmatinskiportal.hr,dalmatinskiportal.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,46/16,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=15,2026-09-21
danas.hr,danas.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,22/18,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=22,2026-09-21
danica.hr,danica.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,17/19,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=27,2026-09-21
dijalog.hr,dijalog.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,01/24,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=50,2026-09-21
direktno.hr,direktno.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,5/15,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=9,2026-09-21
dizajn.hr,dizajn.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,55/15,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=12,2026-09-21
djecjaposla.com,djecjaposla.com,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,52/15,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=11,2026-09-21
djsport.hr,djsport.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,20/24,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=52,2026-09-21
dnevnik.hr,dnevnik.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,32/12,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=4,2026-09-21
dnevno.hr,dnevno.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,15/18,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=21,2026-09-21
dobarzivot.net,dobarzivot.net,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,15/16,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=13,2026-09-21
dobre-price.hr,dobre-price.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,44/23,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=49,2026-09-21
dogadjanja.net,dogadjanja.net,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,64/22,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=43,2026-09-21
dokumentarni.net,dokumentarni.net,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,61/14,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=8,2026-09-21
